IMBD title ID,Original Title,Release-year,Genre,Duration,Country,Content Rating,Director, Income , Votes ,Score,,,
tt0111161,The Shawshank Redemption,10/02/1995,Drama,142,USA,R,Frank Darabont," $28,815,245 ",2.278.845,9.3,,,
tt0068646,The Godfather,21/09/1972,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0468569,The Dark Knight,23/07/2008,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0071562,The Godfather: Part II,25/09/1975,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0110912,Pulp Fiction,28/10/1994,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0167260,The Lord of the Rings: The Return of the King,22/02/2004,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0108052,Schindler's List,11/03/1994,Biography,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0050083,12 Angry Men,04/09/1957,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt1375666,Inception,24/09/2010,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0137523,Fight Club,29/10/1999,Drama,127,UK,R,David Fincher," $101,218,804 ",1.807.440,8.8,,,
tt0109830,Forrest Gump,06/10/1994,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0120737,The Lord of the Rings: The Fellowship of the Ring,18/01/2002,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0060196,Il buono,11/07/1992,N/A,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0133093,The Matrix,07/05/1999,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0167261,The Lord of the Rings: The Two Towers,16/01/2003,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,19/09/1980,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0099685,Goodfellas,20/09/1990,Biography,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0073486,One Flew Over the Cuckoo's Nest,18/11/1976,Drama,127,USA,R,Milos Forman," $108,997,629 ",891.071,8.7,,,
tt0816692,Interstellar,06/11/2014,Adventure,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0114369,Se7en,15/12/1995,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0102926,The Silence of the Lambs,05/03/1991,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0076759,Star Wars,20/10/1977,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0120815,Saving Private Ryan,30/10/1998,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0120689,The Green Mile,03/10/2000,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0317248,Cidade de Deus,09/05/2003,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0245429,Sen to Chihiro no kamikakushi,18/04/2003,Animation,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0118799,La vita B9 bella,20/12/1997,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt6751668,Gisaengchung,07/11/2019,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0038650,It's a Wonderful Life,11/03/1948,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0047478,Shichinin no samurai,19/08/1955,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0172495,Gladiator,19/05/2000,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0407887,The Departed,27/10/2006,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0482571,The Prestige,22/12/2006,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0088763,Back to the Future,18/10/1985,Adventure,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0120586,American History X,27/08/1999,Drama,119,USA,R,Tony Kaye," $23,875,127 ",1.014.218,8.5,,,
tt0110413,Léon,07/04/1995,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0103064,Terminator 2: Judgment Day,19/12/1991,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0114814,The Usual Suspects,30/11/1995,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0110357,The Lion King,25/11/1994,Animation,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt7286456,Joker,03/10/2019,Crime,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt1675434,Intouchables,24/02/2012,Biography,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0253474,The Pianist,25/10/2002,Biography,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt2582802,Whiplash,12/02/2015,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0054215,Psycho,28/10/1960,Horror,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0034583,Casablanca,21/11/1946,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0064116,C'era una volta il West,21/12/1968,Western,165,Italy,PG-13,Sergio Leone," $112,911 ",295.22,8.3,,,
tt0095327,Hotaru no haka,11/10/2015,Animation,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0095765,Nuovo Cinema Paradiso,17/11/1988,Drama,155,Italy,No Rating,Giuseppe Tornatore," $13,826,605 ",223.05,8.3,,,
tt0027977,Modern Times,12/03/1937,Comedy,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt1345836,The Dark Knight Rises,29/08/2012,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt1853728,Django Unchained,17/01/2013,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0209144,Memento,19/01/2001,Mystery,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0910970,WALL·E,17/10/2008,Animation,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0081505,The Shining,22/12/1980,Drama,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
tt0082971,Raiders of the Lost Ark,12/06/1981,Action,127,USA,No Rating,Not Specified," $19,384,675 ",413.571,8.175,,,
